movieId,title
94,Beautiful Girls (1996)
95,Broken Arrow (1996)
101,Bottle Rocket (1996)
104,Happy Gilmore (1996)
122,Boomerang (1992)
125,Flirting With Disaster (1996)
132,Jade (1995)
150,Apollo 13 (1995)
153,Batman Forever (1995)
157,Canadian Bacon (1995)
158,Casper (1995)
163,Desperado (1995)
196,Species (1995)
206,Unzipped (1995)
210,Wild Bill (1995)
216,Billy Madison (1995)
252,I.Q. (1994)
253,Interview with the Vampire: The Vampire Chronicles (1994)
266,Legends of the Fall (1994)
271,Losing Isaiah (1995)
327,Tank Girl (1995)
329,Star Trek: Generations (1994)
332,Village of the Damned (1995)
357,Four Weddings and a Funeral (1994)
372,Reality Bites (1994)
374,Richie Rich (1994)
377,Speed (1994)
421,Black Beauty (1994)
435,Coneheads (1993)
445,Fatal Instinct (1993)
466,Hot Shots! Part Deux (1993)
474,In the Line of Fire (1993)
508,Philadelphia (1993)
521,Romeo Is Bleeding (1993)
524,Rudy (1993)
538,Six Degrees of Separation (1993)
541,Blade Runner (1982)
543,So I Married an Axe Murderer (1993)
586,Home Alone (1990)
587,Ghost (1990)
608,Fargo (1996)
628,Primal Fear (1996)
648,Mission: Impossible (1996)
719,Multiplicity (1996)
778,Trainspotting (1996)
836,Chain Reaction (1996)
838,Emma (1996)
886,Bulletproof (1996)
903,Vertigo (1958)
904,Rear Window (1954)
905,It Happened One Night (1934)
908,North by Northwest (1959)
911,Charade (1963)
912,Casablanca (1942)
920,Gone with the Wind (1939)
924,2001: A Space Odyssey (1968)
928,Rebecca (1940)
931,Spellbound (1945)
936,Ninotchka (1939)
949,East of Eden (1955)
953,It's a Wonderful Life (1946)
954,Mr. Smith Goes to Washington (1939)
955,Bringing Up Baby (1938)
968,Night of the Living Dead (1968)
1042,That Thing You Do! (1996)
1060,Swingers (1996)
1086,Dial M for Murder (1954)
1088,Dirty Dancing (1987)
1100,Days of Thunder (1990)
1103,Rebel Without a Cause (1955)
1178,Paths of Glory (1957)
1203,12 Angry Men (1957)
1214,Alien (1979)
1219,Psycho (1960)
1235,Harold and Maude (1971)
1242,Glory (1989)
1252,Chinatown (1974)
1256,Duck Soup (1933)
1266,Unforgiven (1992)
1270,Back to the Future (1985)
1290,Some Kind of Wonderful (1987)
1291,Indiana Jones and the Last Crusade (1989)
1297,Real Genius (1985)
1302,Field of Dreams (1989)
1345,Carrie (1976)
1356,Star Trek: First Contact (1996)
1358,Sling Blade (1996)
1370,Die Hard 2 (1990)
1378,Young Guns (1988)
1381,Grease 2 (1982)
1382,Marked for Death (1990)
1385,Under Siege (1992)
1388,Jaws 2 (1978)
1389,Jaws 3-D (1983)
1392,Citizen Ruth (1996)
1393,Jerry Maguire (1996)
1396,Sneakers (1992)
1404,Night Falls on Manhattan (1996)
1405,Beavis and Butt-Head Do America (1996)
1407,Scream (1996)
1438,Dante's Peak (1997)
1468,Booty Call (1997)
1485,Liar Liar (1997)
1515,Volcano (1997)
1526,Fathers' Day (1997)
1556,Speed 2: Cruise Control (1997)
1593,Picture Perfect (1997)
1603,Mimic (1997)
1617,L.A. Confidential (1997)
1620,Kiss the Girls (1997)
1623,Wishmaster (1997)
1644,I Know What You Did Last Summer (1997)
1662,Gang Related (1997)
1663,Stripes (1981)
1665,Bean (1997)
1667,Mad City (1997)
1680,Sliding Doors (1998)
1688,Anastasia (1997)
1690,Alien: Resurrection (1997)
1717,Scream 2 (1997)
1729,Jackie Brown (1997)
1746,Senseless (1998)
1779,Sphere (1998)
1784,As Good as It Gets (1997)
1805,Wild Things (1998)
1862,Species II (1998)
1876,Deep Impact (1998)
1881,Quest for Camelot (1998)
1884,Fear and Loathing in Las Vegas (1998)
1888,Hope Floats (1998)
1895,Can't Hardly Wait (1998)
1912,Out of Sight (1998)
1918,Lethal Weapon 4 (1998)
1920,Small Soldiers (1998)
1921,Pi (1998)
1927,All Quiet on the Western Front (1930)
1950,In the Heat of the Night (1967)
1952,Midnight Cowboy (1969)
1955,Kramer vs. Kramer (1979)
1958,Terms of Endearment (1983)
1961,Rain Man (1988)
1965,Repo Man (1984)
1974,Friday the 13th (1980)
1975,Friday the 13th Part 2 (1981)
1984,Halloween III: Season of the Witch (1982)
1991,Child's Play (1988)
1992,Child's Play 2 (1990)
1993,Child's Play 3 (1991)
2001,Lethal Weapon 2 (1989)
2002,Lethal Weapon 3 (1992)
2028,Saving Private Ryan (1998)
2067,Doctor Zhivago (1965)
2144,Sixteen Candles (1984)
2145,Pretty in Pink (1986)
2146,St. Elmo's Fire (1985)
2154,How Stella Got Her Groove Back (1998)
2179,Topaz (1969)
2186,Strangers on a Train (1951)
2188,54 (1998)
2195,Dirty Work (1998)
2232,Cube (1997)
2241,Class (1983)
2243,Broadcast News (1987)
2247,Married to the Mob (1988)
2264,We're No Angels (1989)
2269,Indecent Proposal (1993)
2273,Rush Hour (1998)
2291,Edward Scissorhands (1990)
2312,Children of a Lesser God (1986)
2332,Belly (1998)
2336,Elizabeth (1998)
2338,I Still Know What You Did Last Summer (1998)
2369,Desperately Seeking Susan (1985)
2371,Fletch (1985)
2374,Gung Ho (1986)
2377,Lifeforce (1985)
2410,Rocky III (1982)
2413,Clue (1985)
2416,Back to School (1986)
2424,You've Got Mail (1998)
2432,Stepmom (1998)
2447,Varsity Blues (1999)
2457,Running Scared (1986)
2468,Jumpin' Jack Flash (1986)
2501,October Sky (1999)
2502,Office Space (1999)
2517,Christine (1983)
2527,Westworld (1973)
2581,Never Been Kissed (1999)
2599,Election (1999)
2612,Mildred Pierce (1945)
2642,Superman III (1983)
2668,Swamp Thing (1982)
2683,Austin Powers: The Spy Who Shagged Me (1999)
2694,Big Daddy (1999)
2701,Wild Wild West (1999)
2727,Killer's Kiss (1955)
2729,Lolita (1962)
2791,Airplane! (1980)
2797,Big (1988)
2858,American Beauty (1999)
2867,Fright Night (1985)
2872,Excalibur (1981)
2881,Double Jeopardy (1999)
2891,"Happy, Texas (1999)"
2901,Phantasm (1979)
2915,Risky Business (1983)
2921,High Plains Drifter (1973)
2936,Sullivan's Travels (1941)
2948,From Russia with Love (1963)
2949,Dr. No (1962)
2959,Fight Club (1999)
2986,RoboCop 2 (1990)
2989,For Your Eyes Only (1981)
2991,Live and Let Die (1973)
2993,Thunderball (1965)
3019,Drugstore Cowboy (1989)
3039,Trading Places (1983)
3040,Meatballs (1979)
3071,Stand and Deliver (1988)
3076,Irma la Douce (1963)
3087,Scrooged (1988)
3101,Fatal Attraction (1987)
3103,Stanley & Iris (1990)
3107,Backdraft (1991)
3115,Flawless (1999)
3127,Holy Smoke (1999)
3157,Stuart Little (1999)
3175,Galaxy Quest (1999)
3177,Next Friday (2000)
3179,Angela's Ashes (1999)
3186,"Girl, Interrupted (1999)"
3201,Five Easy Pieces (1970)
3210,Fast Times at Ridgemont High (1982)
3213,Batman: Mask of the Phantasm (1993)
3225,Down to You (2000)
3253,Wayne's World (1992)
3254,Wayne's World 2 (1993)
3256,Patriot Games (1992)
3258,Death Becomes Her (1992)
3271,Of Mice and Men (1992)
3274,Single White Female (1992)
3300,Pitch Black (2000)
3358,Defending Your Life (1991)
3361,Bull Durham (1988)
3362,Dog Day Afternoon (1975)
3363,American Graffiti (1973)
3386,JFK (1991)
3418,Thelma & Louise (1991)
3424,Do the Right Thing (1989)
3426,Jungle Fever (1991)
3435,Double Indemnity (1944)
3444,Bloodsport (1988)
3450,Grumpy Old Men (1993)
3451,Guess Who's Coming to Dinner (1967)
3469,Inherit the Wind (1960)
3479,Ladyhawke (1985)
3520,How to Stuff a Wild Bikini (1965)
3526,Parenthood (1989)
3527,Predator (1987)
3591,Mr. Mom (1983)
3614,Honeymoon in Vegas (1992)
3633,On Her Majesty's Secret Service (1969)
3638,Moonraker (1979)
3682,Magnum Force (1973)
3697,Predator 2 (1990)
3699,Starman (1984)
3704,Mad Max Beyond Thunderdome (1985)
3708,Firestarter (1984)
3723,Hamlet (1990)
3744,Shaft (2000)
3745,Titan A.E. (2000)
3763,F/X (1986)
3766,Missing in Action (1984)
3785,Scary Movie (2000)
3786,But I'm a Cheerleader (1999)
3794,Chuck & Buck (2000)
3798,What Lies Beneath (2000)
3827,Space Cowboys (2000)
3840,Pumpkinhead (1988)
3857,Bless the Child (2000)
3911,Best in Show (2000)
3928,Abbott and Costello Meet Frankenstein (1948)
3961,Ghoulies (1985)
3977,Charlie's Angels (2000)
3980,Men of Honor (2000)
3984,Diamonds Are Forever (1971)
4002,"Planes, Trains & Automobiles (1987)"
4010,Brewster's Millions (1985)
4011,Snatch (2000)
4014,Chocolat (2000)
4015,"Dude, Where's My Car? (2000)"
4027,"O Brother, Where Art Thou? (2000)"
4030,Dracula 2000 (2000)
4036,Shadow of the Vampire (2000)
4054,Save the Last Dance (2001)
4062,Mystic Pizza (1988)
4064,Coffy (1973)
4085,Beverly Hills Cop (1984)
4116,Hollywood Shuffle (1987)
4132,Mannequin (1987)
4188,Hans Christian Andersen (1952)
4191,Alfie (1966)
4200,Double Impact (1991)
4207,Navy Seals (1990)
4211,Reversal of Fortune (1990)
4223,Enemy at the Gates (2001)
4226,Memento (2000)
4232,Spy Kids (2001)
4238,Along Came a Spider (2001)
4246,Bridget Jones's Diary (2001)
4262,Scarface (1983)
4276,Lost in America (1985)
4285,Frankie and Johnny (1991)
4308,Moulin Rouge (2001)
4321,City Slickers (1991)
4344,Swordfish (2001)
4353,Uncommon Valor (1983)
4367,Lara Croft: Tomb Raider (2001)
4373,Pootie Tang (2001)
4388,Scary Movie 2 (2001)
4410,Something Wild (1986)
4432,Sweet Smell of Success (1957)
4447,Legally Blonde (2001)
4488,Colors (1988)
4495,Crossing Delancey (1988)
4499,Dirty Rotten Scoundrels (1988)
4557,Tucker: The Man and His Dream (1988)
4603,Her Alibi (1989)
4618,Leviathan (1989)
4641,Ghost World (2001)
4654,Road House (1989)
4679,Uncle Buck (1989)
4701,Rush Hour 2 (2001)
4718,American Pie 2 (2001)
4719,Osmosis Jones (2001)
4734,Jay and Silent Bob Strike Back (2001)
4744,Jeepers Creepers (2001)
4745,O (2001)
4748,3 Ninjas (1992)
4782,Sidewalks of New York (2001)
4787,Little Man Tate (1991)
4799,"It's a Mad, Mad, Mad, Mad World (1963)"
4816,Zoolander (2001)
4865,From Hell (2001)
4890,Shallow Hal (2001)
4898,Novocaine (2001)
4920,"Now, Voyager (1942)"
4950,Lone Wolf McQuade (1983)
4951,Lord of the Flies (1990)
4962,Texas Rangers (2001)
4963,Ocean's Eleven (2001)
4980,Bill & Ted's Bogus Journey (1991)
4990,Jimmy Neutron: Boy Genius (2001)
4992,Kate & Leopold (2001)
5008,Witness for the Prosecution (1957)
5025,Orange County (2002)
5049,48 Hrs. (1982)
5092,Big Fat Liar (2002)
5107,Hart's War (2002)
5128,Queen of the Damned (2002)
5152,We Were Soldiers (2002)
5161,Intersection (1994)
5172,Full Frontal (2002)
5218,Ice Age (2002)
5222,Kissing Jessica Stein (2001)
5264,Clockstoppers (2002)
5279,Impromptu (1991)
5293,Changing Lanes (2002)
5294,Frailty (2001)
5312,Murder by Numbers (2002)
5334,Cadillac Man (1990)
5341,Lenny (1974)
5364,Unfaithful (2002)
5377,About a Boy (2002)
5419,Scooby-Doo (2002)
5445,Minority Report (2002)
5449,Mr. Deeds (2002)
5480,Stuart Little 2 (2002)
5481,Austin Powers in Goldmember (2002)
5500,Top Secret! (1984)
5508,24 Hour Party People (2002)
5524,Blue Crush (2002)
5529,Serving Sara (2002)
5572,Barbershop (2002)
5617,Secretary (2002)
5629,Jonah: A VeggieTales Movie (2002)
5664,Brown Sugar (2002)
5742,First Monday in October (1981)
5784,Ghost Ship (2002)
5791,Frida (2002)
5796,Casino Royale (1967)
5853,Scanners (1981)
5872,Die Another Day (2002)
5903,Equilibrium (2002)
5941,Drumline (2002)
5956,Gangs of New York (2002)
5970,My Girl (1991)
5975,War and Peace (1956)
5989,Catch Me If You Can (2002)
5991,Chicago (2002)
6006,Just Married (2003)
6143,Trail of the Pink Panther (1982)
6155,How to Lose a Guy in 10 Days (2003)
6188,Old School (2003)
6203,Life Stinks (1991)
6218,Bend It Like Beckham (2002)
6265,Head of State (2003)
6281,Phone Booth (2002)
6287,Anger Management (2003)
6290,House of 1000 Corpses (2003)
6347,Beat Street (1984)
6356,Gunfight at the O.K. Corral (1957)
6410,Car Wash (1976)
6475,Opportunity Knocks (1990)
6518,Flight of the Intruder (1991)
6558,Curly Sue (1991)
6576,Juggernaut (1974)
6619,Uptown Girls (2003)
6642,Showdown in Little Tokyo (1991)
6870,Mystic River (2003)
6952,Gothika (2003)
6966,Darkman (1990)
7001,Invasion of the Body Snatchers (1978)
7062,Birdman of Alcatraz (1962)
7121,Adam's Rib (1949)
7139,In America (2002)
7162,Cold Mountain (2003)
7280,Blacula (1972)
7348,Spartan (2004)
7360,Dawn of the Dead (2004)
7361,Eternal Sunshine of the Spotless Mind (2004)
7438,Kill Bill: Vol. 2 (2004)
7482,Enter the Dragon (1973)
8507,Freaks (1932)
8535,De-Lovely (2004)
8612,Lassie Come Home (1943)
8623,Roxanne (1987)
8638,Before Sunset (2004)
8678,Guns of the Magnificent Seven (1969)
8948,Alfie (2004)
8984,Ocean's Twelve (2004)
26365,Futureworld (1976)
26398,Capricorn One (1978)
26750,Quigley Down Under (1990)
27837,Flight of the Phoenix (2004)
27838,Mean Creek (2004)
27876,Schultze Gets the Blues (2003)
32589,Beauty Shop (2005)
33162,Kingdom of Heaven (2005)
34162,Wedding Crashers (2005)
35957,Red Eye (2005)
38061,Kiss Kiss Bang Bang (2005)
39231,Elizabethtown (2005)
40629,Pride & Prejudice (2005)
40851,Zathura (2005)
41569,King Kong (2005)
42009,Cheaper by the Dozen 2 (2005)
42413,After Midnight (1989)
42710,Ted Bundy (2002)
42738,Underworld: Evolution (2006)
43558,Big Momma's House 2 (2006)
43838,Troll (1986)
44189,Ask the Dust (2006)
44238,Leprechaun 2 (1994)
44243,Leprechaun 4: In Space (1997)
44245,Leprechaun in the Hood (2000)
44494,Son of the Pink Panther (1993)
44828,Slither (2006)
44972,Scary Movie 4 (2006)
45442,Poseidon (2006)
45499,X-Men: The Last Stand (2006)
46948,Monster House (2006)
47122,John Tucker Must Die (2006)
47200,Crank (2006)
47518,Accepted (2006)
47999,Jesus Camp (2006)
48322,Jackass Number Two (2006)
48520,Employee of the Month (2006)
48698,Deliver Us from Evil (2006)
49649,Eragon (2006)
49910,Freedom Writers (2007)
50806,Norbit (2007)
51255,Hot Fuzz (2007)
51935,Shooter (2007)
52694,Mr. Bean's Holiday (2007)
52722,Spider-Man 3 (2007)
52973,Knocked Up (2007)
53466,Nancy Drew (2007)
53993,Evan Almighty (2007)
54505,Arctic Tale (2007)
55050,Fierce People (2005)
55765,American Gangster (2007)
55946,Lions For Lambs (2007)
56156,Hitman (2007)
56174,I Am Legend (2007)
56367,Juno (2007)
56941,P.S. I Love You (2007)
56949,27 Dresses (2008)
57368,Cloverfield (2008)
58047,"Definitely, Maybe (2008)"
58293,"10,000 BC (2008)"
58655,Drillbit Taylor (2008)
59037,Speed Racer (2008)
59900,You Don't Mess with the Zohan (2008)
62155,Nick and Norah's Infinite Playlist (2008)
65230,Marley & Me (2008)
65585,Bride Wars (2009)
66171,Push (2009)
67087,"I Love You, Man (2009)"
67734,Adventureland (2009)
70293,Julie & Julia (2009)
71533,Next Day Air (2009)
72489,Ninja Assassin (2009)
72733,Invictus (2009)
74946,She's Out of My League (2010)
77667,MacGruber (2010)
77820,Furry Vengeance (2010)
77866,Robin Hood (2010)
78032,Dread (2009)
78209,Get Him to the Greek (2010)
78266,Splice (2009)
78467,Jonah Hex (2010)
79185,Knight and Day (2010)
79588,Charlie St. Cloud (2010)
79720,Animal Kingdom (2010)
79794,Crossworlds (1997)
79897,Get Low (2009)
80241,Going the Distance (2010)
80363,Resident Evil: Afterlife (2010)
80549,Easy A (2010)
80572,I'm Still Here (2010)
80615,Legend of the Guardians: The Owls of Ga'Hoole (2010)
80617,Cats & Dogs: The Revenge of Kitty Galore (2010)
80693,It's Kind of a Funny Story (2010)
80775,Tamara Drewe (2010)
80906,Inside Job (2010)
81270,My Soul to Take (2010)
81417,Paranormal Activity 2 (2010)
81537,Due Date (2010)
81591,Black Swan (2010)
81782,Unstoppable (2010)
81784,Morning Glory (2010)
81834,Harry Potter and the Deathly Hallows: Part 1 (2010)
82463,Another Year (2010)
82527,Barney's Version (2010)
82589,Mother and Child (2009)
83086,Burlesque (2010)
83270,Made in Dagenham (2010)
84152,Limitless (2011)
84601,Unknown (2011)
85022,Hall Pass (2011)
85394,Cave of Forgotten Dreams (2010)
85397,Red Riding Hood (2011)
85510,Sucker Punch (2011)
86014,Diary of a Wimpy Kid: Rodrick Rules (2011)
86293,Arthur (2011)
86781,Incendies (2010)
86815,Soul Surfer (2011)
86817,Something Borrowed (2011)
87306,Super 8 (2011)
87314,Lottery Ticket (2010)
87430,Green Lantern (2011)
87485,Bad Teacher (2011)
87529,Your Highness (2011)
87785,Takers (2010)
88125,Harry Potter and the Deathly Hallows: Part 2 (2011)
88163,"Crazy, Stupid, Love. (2011)"
88468,Alpha and Omega (2010)
88744,Rise of the Planet of the Apes (2011)
88932,Final Destination 5 (2011)
89028,Don't Be Afraid of the Dark (2010)
89864,50/50 (2011)
90439,Margin Call (2011)
90469,Paranormal Activity 3 (2011)
91414,Arthur Christmas (2011)
91974,Underworld: Awakening (2012)
91978,Man on a Ledge (2012)
92420,Chronicle (2012)
92507,Safe House (2012)
94018,Battleship (2012)
94323,Think Like a Man (2012)
94439,Jumping the Broom (2011)
94780,Snow White and the Huntsman (2012)
95199,What to Expect When You're Expecting (2012)
95441,Ted (2012)
96281,ParaNorman (2012)
96588,Pitch Perfect (2012)
98373,Step Up Revolution (2012)
98585,Hitchcock (2012)
99007,Warm Bodies (2013)
99117,This Is 40 (2012)
99728,Gangster Squad (2013)
99912,Mama (2013)
100390,Identity Thief (2013)
101076,G.I. Joe: Retaliation (2013)
101864,Oblivion (2013)
102880,After Earth (2013)
102903,Now You See Me (2013)
103228,Pacific Rim (2013)
103253,Elysium (2013)
103335,Despicable Me 2 (2013)
103810,Red 2 (2013)
104241,Kick-Ass 2 (2013)
106062,Jackass Presents: Bad Grandpa (2013)
106100,Dallas Buyers Club (2013)
107769,Paranormal Activity: The Marked Ones (2014)
108016,Resistance (2011)
108190,Divergent (2014)
109183,Date and Switch (2014)
109189,Endless Love (2014)
109673,300: Rise of an Empire (2014)
110553,The Amazing Spider-Man 2 (2014)
110984,Age of Dinosaurs (2013)
111113,Neighbors (2014)
112303,Think Like a Man Too (2014)
112946,Wish I Was Here (2014)
113103,Step Up All In (2014)
113159,Life After Beth (2014)
113207,Get on Up (2014)
113775,Life of Crime (2013)
113780,"As Above, So Below (2014)"
114329,What We Did on Our Holiday (2014)
114713,Annabelle (2014)
114849,The Prince (2014)
114980,Grace Unplugged (2013)
115162,Reclaim (2014)
117893,Jessabelle (2014)
119141,The Interview (2014)
119655,Seventh Son (2014)
121382,Jack the Giant Killer (2013)
125786,Burning Blue (2013)
125914,Mortdecai (2015)
125916,Fifty Shades of Grey (2015)
127128,Mississippi Grind (2015)
127323,Vice (2015)
130490,Insurgent (2015)
